url,Create Date,Create Location,Style,image_url,Genre,tags,Date,Media,Location,Series,Theme,Period
https://www.wikiart.org/en/pierre-auguste-renoir/breton-landscape-1893,1893,,Impressionism,https://uploads5.wikiart.org/images/pierre-auguste-renoir/breton-landscape-1893.jpg!Large.jpg,landscape,Brittany,1893,oil|canvas,Private Collection,,,Later Years
https://www.wikiart.org/en/moise-kisling/not-identified-8,,,Post-Impressionism,https://uploads1.wikiart.org/images/moise-kisling/not-identified-8.jpg!Large.jpg,portrait,female-portraits|Lady,,,,,,
https://www.wikiart.org/en/max-ernst/illustration-to-a-week-of-kindness-1934-20,1934,Paris,Surrealism,https://uploads5.wikiart.org/images/max-ernst/illustration-to-a-week-of-kindness-1934-20.jpg!Large.jpg,illustration,allegories-and-symbols|conversations,"Paris|1934; Paris, France|1934",collage|paper,"Staatsgalerie Stuttgart, Stuttgart, Germany","""A Week of Kindness""",,First French period
https://www.wikiart.org/en/edward-hicks/the-grave-of-william-penn-1847,1847,,Naïve Art (Primitivism),https://uploads5.wikiart.org/images/edward-hicks/the-grave-of-william-penn-1847.jpg!Large.jpg,landscape,Rural area,1847,,,,,
https://www.wikiart.org/en/max-oppenheimer/mother-and-son-1911,1911,,Expressionism,https://uploads3.wikiart.org/00226/images/max-oppenheimer/mother-and-son-1911.jpg,portrait,Lady|Human,1911,,,,,
https://www.wikiart.org/en/maurice-prendergast/st-malo-also-known-as-sketch-st-malo,1907,,Post-Impressionism,https://uploads0.wikiart.org/images/maurice-prendergast/st-malo-also-known-as-sketch-st-malo.jpg!Large.jpg,landscape,seas-and-oceans,1907,panel|oil,,,,
https://www.wikiart.org/en/camille-corot/italian-with-mug-1828,1828,,Realism,https://uploads6.wikiart.org/images/camille-corot/italian-with-mug-1828.jpg!Large.jpg,portrait,female-portraits|Lady,1828,oil|paper,Private Collection,,Italian People,
https://www.wikiart.org/en/arkhip-kuindzhi/a-birch-grove-1879-2,1879,,Impressionism,https://uploads7.wikiart.org/images/arkhip-kuindzhi/a-birch-grove-1879-2.jpg!Large.jpg,landscape,rivers-and-waterfalls|forests-and-trees|Tree|Nature|Natural environment|Forest|Natural landscape|Woodland|Biome|Northern hardwood forest|Old-growth forest|Plant,1879,oil|canvas,,,,
https://www.wikiart.org/en/sa-nogueira/jardim-suspenso-i-1961,1961,,Cubism,https://uploads4.wikiart.org/images/sa-nogueira/jardim-suspenso-i-1961.jpg,,,1961,,,,,
https://www.wikiart.org/en/fyodor-vasilyev/peasant-s-courtyard-1869,1869,,Realism,https://uploads2.wikiart.org/images/fyodor-vasilyev/peasant-s-courtyard-1869.jpg!Large.jpg,genre painting,countryside,1869,oil|paper,,,,
