url,Create Date,Create Location,Date,image_url,Style,Genre,Location,tags,Media,Series,Period,Theme
https://www.wikiart.org/en/eduardo-nery/estrutura-amb-gua-iv-1969,1969,,1969,https://uploads0.wikiart.org/images/eduardo-nery/estrutura-amb-gua-iv-1969.jpg!Large.jpg,Op Art,abstract,,Orange|Pattern|Pink|Brown|Line|Tints and shades,,,,
https://www.wikiart.org/en/wifredo-lam/adam-and-eve-1969,1969,,1969,https://uploads8.wikiart.org/images/wifredo-lam/adam-and-eve-1969.jpg,Surrealism,religious painting,,,oil,,,
https://www.wikiart.org/en/sir-lawrence-alma-tadema/unwelcome-confidences-1902,1902,,1902,https://uploads0.wikiart.org/images/alma-tadema-lawrence/unwelcome-confidences-1902.jpg!Large.jpg,Romanticism,genre painting,Private Collection,Lady,oil,,,
https://www.wikiart.org/en/otto-mueller/zwei-in-dunen-sitzende-madchen-1926,1926,,1926,https://uploads0.wikiart.org/00144/images/otto-mueller/otto-mueller-zwei-in-d-nen-sitzende-m-dchen-ca1926.jpeg!Large.jpeg,Expressionism,nude painting (nu),"Thyssen-Bornemisza Museum, Madrid, Spain",Mythology,tempera,,,
https://www.wikiart.org/en/pierre-puvis-de-chavannes/the-song-of-the-shepherd,1891,,1891,https://uploads3.wikiart.org/images/pierre-puvis-de-chavannes/the-song-of-the-shepherd.jpg!Large.jpg,Symbolism,genre painting,"Metropolitan Museum of Art (Met), New York City, NY, US",countryside|Mythology,oil|canvas,,,
https://www.wikiart.org/en/le-corbusier/villa-savoye-in-poissy,1931,Poissy,"1928 - 1931; Poissy, France|1931|Poissy",https://uploads6.wikiart.org/images/le-corbusier/villa-savoye-in-poissy.jpg!Large.jpg,Constructivism,architecture,,House|Property|Building|Home|Facade,,,,
https://www.wikiart.org/en/konrad-zuse/standing-nude-1971,1971,,1971,https://uploads3.wikiart.org/00243/images/konrad-zuse/7120-100x60.jpg!Large.jpg,Kitsch,nude painting (nu),,female-nude,oil,,,
https://www.wikiart.org/en/francois-pompon/panthere-1931,1931,,1931,https://uploads8.wikiart.org/00312/images/francois-pompon/panthere-c-1931.jpg!Large.jpg,Art Deco,sculpture|animal painting,,Animal figure|Figurine|Terrestrial animal|Bronze sculpture,,,,
https://www.wikiart.org/en/gustave-dore/the-death-of-jezebel,,,,https://uploads4.wikiart.org/images/gustave-dore/the-death-of-jezebel.jpg!Large.jpg,Romanticism,religious painting,,Christianity|Jezebel|birth-and-death|Stock photography|Organism,,The Holy Bible,,
https://www.wikiart.org/en/ilya-isupov/untitled-37,,,,https://uploads6.wikiart.org/00159/images/ilya-isupov/18-1.jpg!Large.jpg,Naïve Art (Primitivism)|Art Brut,sculpture,,Figurine,,,,
https://www.wikiart.org/en/carmen-delaco/children-with-no-name-ii-2008,2008,,2008; Spain|2008,https://uploads5.wikiart.org/00284/images/carmen-delaco/noname2.jpg!Large.jpg,Figurative Expressionism|Neo-Figurative Art,figurative,,Human body|male-portraits,oil|acrylic,,,
https://www.wikiart.org/en/lucy-ivanova/untitled-2017-2,2017,,2017,https://uploads1.wikiart.org/00227/images/lucy-ivanova/4.jpg!Large.jpg,Neo-Expressionism,figurative,,Nature|Grassland|Meadow|Grass,,,,
https://www.wikiart.org/en/theophile-steinlen/un-poilu-a-petain-1916,1916,,1916,https://uploads2.wikiart.org/images/theophile-steinlen/un-poilu-a-petain-1916.jpg,,genre painting,,Sketch|Text,,,,
https://www.wikiart.org/en/vincent-van-gogh/wheat-field-with-sheaves-1888-1,1888,"Arles, Bouches-du-Rhône","1888|1888; Arles, Bouches-du-Rhône, France|Arles, Bouches-du-Rhône",https://uploads1.wikiart.org/images/vincent-van-gogh/wheat-field-with-sheaves-1888-1.jpg!Large.jpg,Post-Impressionism,sketch and study,"Kupferstichkabinett Berlin, Berlin, Germany",fields-and-plains|Botany|Sketch,paper|ink,,,
https://www.wikiart.org/en/arsen-savadov/holywood-2004,2004,,2004,https://uploads8.wikiart.org/00156/images/arsen-savadov/holywood-2004.jpg!Large.jpg,Neo-Pop Art|Fantastic Realism,figurative,,,,,,
https://www.wikiart.org/en/li-chevalier/laspiration,2010,,2010,https://uploads6.wikiart.org/00143/images/li-chevalier/3l-aspiration.jpg!Large.jpg,Lyrical Abstraction|Ink and wash painting,landscape,,,mixed technique,Abstract Symbolisme,,
https://www.wikiart.org/en/mary-fedden/two-women-on-the-shore-1977,1977,,1977,https://uploads0.wikiart.org/images/mary-fedden/two-women-on-the-shore-1977.jpg,Naïve Art (Primitivism),genre painting,,Fun,,,,
https://www.wikiart.org/en/emmanuel-zairis/girl-sitting-in-the-grass,,,,https://uploads2.wikiart.org/images/emmanuel-zairis/girl-sitting-in-the-grass.jpg,Impressionism,genre painting,,,,,,
https://www.wikiart.org/en/lourdes-castro/ananas-tropical-1970,1970,,1970,https://uploads5.wikiart.org/images/lourdes-castro/ananas-tropical-1970.jpg,Pop Art,figurative,,,,,,
https://www.wikiart.org/en/geta-bratescu/legs-in-the-morning-2009,2009,,2009,https://uploads8.wikiart.org/images/geta-bratescu/legs-in-the-morning-2009.jpg,Conceptual Art,photo,,Skin|Nail|Hand|Finger|Joint|Leg|Arm|Human leg,,,,
https://www.wikiart.org/en/keith-haring/untitled-1982,1982,,1982,https://uploads5.wikiart.org/images/keith-haring/untitled-1982.jpg,Pop Art,figurative,,,,,,
https://www.wikiart.org/en/edouard-manet/steamboat-leaving-boulogne-1864,1864,Paris,"1864|Paris|1864; Paris, France",https://uploads7.wikiart.org/images/edouard-manet/steamboat-leaving-boulogne-1864.jpg!Large.jpg,Realism,marina,"Art Institute of Chicago, Chicago, IL, US",boats-and-ships|seas-and-oceans|Boat|Vehicle|Sailing|Sail|Sailboat|Galiot,oil|canvas,,,
https://www.wikiart.org/en/gustave-loiseau/the-garden-behind-the-house-1915,1915,,1915,https://uploads1.wikiart.org/images/gustave-loiseau/the-garden-behind-the-house-1915.jpg!Large.jpg,Post-Impressionism,landscape,Private Collection,cottages-and-farmhouses|forests-and-trees|House|Building|Rural area,oil|canvas,,,
https://www.wikiart.org/en/brice-marden/adriatics-a-1973,1973,,1973,https://uploads0.wikiart.org/images/brice-marden/adriatics-a-1973.jpg!Large.jpg,Minimalism,abstract,,Picture frame|Rectangle|Line,,,,
https://www.wikiart.org/en/john-singer-sargent/florence-torre-galli-1910,1910,,1910,https://uploads7.wikiart.org/images/john-singer-sargent/florence-torre-galli-1910.jpg!Large.jpg,Impressionism,cityscape,,animals|male-portraits|houses-and-buildings|bulls|Florence|Holy places,paper|watercolor,,,
