url,Create Date,Create Location,image_url,Date,Style,Genre,tags,Period,Media,Theme,Location,Series
https://www.wikiart.org/en/theophile-steinlen/en-attendant-le-depart-1916,1916,,https://uploads7.wikiart.org/images/theophile-steinlen/en-attendant-le-depart-1916.jpg,1916,Realism,sketch and study,Sketch|Figure drawing,,,,,
https://www.wikiart.org/en/ilya-repin/portrait-of-a-peasant-1889,1889,,https://uploads8.wikiart.org/images/ilya-repin/portrait-of-a-peasant-1889.jpg!Large.jpg,1889,Realism,portrait,,,,,,
https://www.wikiart.org/en/erte/the-surprises-of-the-sea,,,https://uploads.wikiart.org/Content/images/FRAME-600x480.jpg,,Art Deco,design,designs-and-sketches,,,,,
https://www.wikiart.org/en/richard-parkes-bonington/boats-by-the-normandy-shore-1823,1823,,https://uploads1.wikiart.org/images/richard-parkes-bonington/boats-by-the-normandy-shore-1823.jpg!Large.jpg,1823; France|1823,Romanticism,landscape,boats-and-ships|Normandy|Vehicle|Boat|Watercraft,,oil|canvas,,"Hermitage Museum, Saint Petersburg, Russia",
https://www.wikiart.org/en/marcelle-cahn/untitled-1973-2,1973,,https://uploads6.wikiart.org/images/marcelle-cahn/untitled-1973.jpg,1973,Concretism,abstract,,,,,,
https://www.wikiart.org/en/rodrigo-franzao/music-box-2016,2016,,https://uploads2.wikiart.org/00105/images/rodrigo-franzao/2a.jpg,2016|2016; Brazil,Contemporary,installation,Plate|Circle|Dishware,,wire|acrylic|fabric,,,
https://www.wikiart.org/en/alfred-freddy-krupa/the-battlefield-or-burned-motif-2022,2022,,https://uploads3.wikiart.org/00436/images/alfred-freddy-krupa/313408552-10228781978871956-4534429786001020254-n.jpg!Large.jpg,2022,New Ink Painting|Surrealism,landscape,,,ink|grattage|canvas,,,
https://www.wikiart.org/en/will-barnet/silent-seasons-autumn-1969,1969,,https://uploads0.wikiart.org/images/will-barnet/silent-seasons-autumn-1969.jpg!Large.jpg,1969; United States|1969,Pop Art,genre painting,autumn|birds|characters-and-emotions,,paper|lithography,,,
https://www.wikiart.org/en/ronnie-landfield/diamond-lake-1969,1969,,https://uploads4.wikiart.org/images/ronnie-landfield/diamond-lake-1969.jpg,1969,Lyrical Abstraction,abstract,Violet|Lavender,,,,,
https://www.wikiart.org/en/walasse-ting/parrots-1990,1990,,https://uploads4.wikiart.org/images/walasse-ting/parrots-1990.jpg,1990,Naïve Art (Primitivism)|Pop Art,animal painting,Bird|Parrot|Beak|Lovebird,,,,,
https://www.wikiart.org/en/kara-walker/christs-entry-into-journalism-2017,2017,,https://uploads8.wikiart.org/00333/images/kara-walker/christ-s-entry-into-journalism-2017.jpg!Large.jpg,2017,Feminist Art,figurative,,,,,,
https://www.wikiart.org/en/amedeo-modigliani/a-young-girl-1918,1918,Paris,https://uploads6.wikiart.org/images/amedeo-modigliani/a-young-girl-1918.jpg!Large.jpg,"1918; Paris, France|1918|Paris",Expressionism,portrait,female-portraits|Lady,,oil|canvas,,"Musée Picasso, Paris, France",
